campaign_id,email_id,player_id,offer_id,email_sent_datetime,is_bounced,is_opened,cta_clicked,bounce_reason
CMP_2026_REACT_LAPSED_01,E000001,P00001,OFF_FS10,2026-01-05 13:25:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000002,P00002,OFF_MATCH20_100,2026-01-02 17:43:00,False,True,True,
CMP_2026_REACT_LAPSED_01,E000003,P00003,OFF_MATCH20_100,2026-01-03 14:31:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000004,P00004,OFF_FS10,2026-01-04 17:01:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000005,P00005,OFF_FS10,2026-01-05 19:03:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000006,P00006,OFF_FS10,2026-01-05 11:52:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000007,P00007,OFF_MATCH20_100,2026-01-05 12:07:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000008,P00008,OFF_MATCH20_100,2026-01-05 15:13:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000009,P00009,OFF_MATCH20_100,2026-01-02 09:36:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000010,P00010,OFF_FS10,2026-01-03 12:59:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000011,P00011,OFF_FS10,2026-01-04 10:52:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000012,P00012,OFF_MATCH20_100,2026-01-05 20:58:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000013,P00013,OFF_MATCH20_100,2026-01-02 19:19:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000014,P00014,OFF_FS10,2026-01-03 19:40:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000015,P00015,OFF_MATCH20_100,2026-01-04 14:16:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000016,P00016,OFF_MATCH20_100,2026-01-04 20:20:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000017,P00017,OFF_MATCH20_100,2026-01-04 10:41:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000018,P00018,OFF_MATCH20_100,2026-01-02 10:45:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000019,P00019,OFF_FS10,2026-01-05 09:13:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000020,P00020,OFF_FS10,2026-01-04 11:12:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000021,P00021,OFF_FS10,2026-01-02 12:11:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000022,P00022,OFF_FS10,2026-01-02 17:15:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000023,P00023,OFF_MATCH20_100,2026-01-05 18:36:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000024,P00024,OFF_FS10,2026-01-05 10:55:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000025,P00025,OFF_MATCH20_100,2026-01-02 11:37:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000026,P00026,OFF_FS10,2026-01-02 08:33:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000027,P00027,OFF_FS10,2026-01-05 13:29:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000028,P00028,OFF_FS10,2026-01-05 11:26:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000029,P00029,OFF_FS10,2026-01-04 12:21:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000030,P00030,OFF_MATCH20_100,2026-01-04 18:35:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000031,P00031,OFF_MATCH20_100,2026-01-05 14:47:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000032,P00032,OFF_FS10,2026-01-02 14:08:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000033,P00033,OFF_MATCH20_100,2026-01-02 08:53:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000034,P00034,OFF_FS10,2026-01-05 12:38:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000035,P00035,OFF_FS10,2026-01-03 15:22:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000036,P00036,OFF_FS10,2026-01-02 20:03:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000037,P00037,OFF_FS10,2026-01-02 12:24:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000038,P00038,OFF_FS10,2026-01-05 11:20:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000039,P00039,OFF_MATCH20_100,2026-01-03 15:37:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000040,P00040,OFF_MATCH20_100,2026-01-02 17:55:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000041,P00041,OFF_FS10,2026-01-05 13:24:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000042,P00042,OFF_FS10,2026-01-03 17:42:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000043,P00043,OFF_FS10,2026-01-02 18:11:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000044,P00044,OFF_FS10,2026-01-04 08:23:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000045,P00045,OFF_FS10,2026-01-02 13:23:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000046,P00046,OFF_MATCH20_100,2026-01-03 14:51:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000047,P00047,OFF_MATCH20_100,2026-01-04 12:06:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000048,P00048,OFF_FS10,2026-01-04 16:37:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000049,P00049,OFF_MATCH20_100,2026-01-02 13:15:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000050,P00050,OFF_MATCH20_100,2026-01-04 13:53:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000051,P00051,OFF_MATCH20_100,2026-01-03 12:34:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000052,P00052,OFF_FS10,2026-01-05 09:59:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000053,P00053,OFF_MATCH20_100,2026-01-05 08:05:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000054,P00054,OFF_MATCH20_100,2026-01-05 14:31:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000055,P00055,OFF_MATCH20_100,2026-01-02 11:48:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000056,P00056,OFF_FS10,2026-01-05 16:53:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000057,P00057,OFF_MATCH20_100,2026-01-02 20:39:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000058,P00058,OFF_MATCH20_100,2026-01-03 17:27:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000059,P00059,OFF_MATCH20_100,2026-01-02 17:11:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000060,P00060,OFF_FS10,2026-01-02 08:13:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000061,P00061,OFF_MATCH20_100,2026-01-04 09:08:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000062,P00062,OFF_MATCH20_100,2026-01-05 19:00:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000063,P00063,OFF_FS10,2026-01-03 08:19:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000064,P00064,OFF_MATCH20_100,2026-01-02 19:46:00,False,True,True,
CMP_2026_REACT_LAPSED_01,E000065,P00065,OFF_FS10,2026-01-02 15:33:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000066,P00066,OFF_MATCH20_100,2026-01-02 08:52:00,True,False,False,Unknown user
CMP_2026_REACT_LAPSED_01,E000067,P00067,OFF_MATCH20_100,2026-01-05 15:45:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000068,P00068,OFF_MATCH20_100,2026-01-05 12:14:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000069,P00069,OFF_MATCH20_100,2026-01-04 18:02:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000070,P00070,OFF_FS10,2026-01-03 15:48:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000071,P00071,OFF_FS10,2026-01-05 18:57:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000072,P00072,OFF_FS10,2026-01-02 08:55:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000073,P00073,OFF_MATCH20_100,2026-01-03 16:30:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000074,P00074,OFF_FS10,2026-01-05 15:47:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000075,P00075,OFF_MATCH20_100,2026-01-05 15:56:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000076,P00076,OFF_FS10,2026-01-02 09:15:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000077,P00077,OFF_FS10,2026-01-05 14:51:00,True,False,False,Mailbox full
CMP_2026_REACT_LAPSED_01,E000078,P00078,OFF_FS10,2026-01-02 15:50:00,False,True,False,
CMP_2026_REACT_LAPSED_01,E000079,P00079,OFF_MATCH20_100,2026-01-03 20:37:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000080,P00080,OFF_MATCH20_100,2026-01-02 16:54:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000081,P00081,OFF_MATCH20_100,2026-01-05 17:29:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000082,P00082,OFF_FS10,2026-01-03 17:02:00,False,False,False,
CMP_2026_REACT_LAPSED_01,E000083,P00083,OFF_MATCH20_100,2026-01-05 16:07:00,False,False,False,
